substrate,coupling_partner,Solvent,Time,temperature,catalyst_precursor,reagent,effective_reagents,effective_reagents_covalent,ligand,effective_ligand,PRODUCT,isolated_yield,couplingpartner_class,DOI,origin,eq_substrate,eq_coupling_partner,eq_catalyst,eq_ligand,eq_reagent,2_steps,scheme_table,review,Mechanism,reaction_condition,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=CC=CC=N1,CN(C=O)C,16 h,60,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C1(C2=CC=CC=C2)=CC=CC=N1,0,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,optimization,1,1.5,0.12,0.12,1.5,,Table 1,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=CC=CC=N1,CN(C=O)C,16 h,60,Cl[Pd]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C1(C2=CC=CC=C2)=CC=CC=N1,12,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,optimization,1,1.5,0.12,0.12,1.5,,Table 1,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=CC=CC=N1,CN(C=O)C,16 h,60,Cl[Ni]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C1(C2=CC=CC=C2)=CC=CC=N1,8,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,optimization,1,1.5,0.12,0.12,1.5,,Table 1,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=CC=CC=N1,CN(C=O)C,16 h,60,Cl[Cu],C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C1(C2=CC=CC=C2)=CC=CC=N1,0,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,optimization,1,1.5,0.12,0.12,1.5,,Table 1,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=CC=CC=N1,CN(C=O)C,16 h,60,Cl[Fe]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C1(C2=CC=CC=C2)=CC=CC=N1,0,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,optimization,1,1.5,0.12,0.12,1.5,,Table 1,article,Suzuki,Ar,
B(C1=CC=CC=C1)(O)O,ClC1=CC=CC=N1,CN(C=O)C,16 h,60,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C1(C2=CC=CC=C2)=CC=CC=N1,75,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,optimization,1,1.5,0.12,0.12,1.5,,Table 1,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=CC=CC=N1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C1(C2=CC=CC=C2)=CC=CC=N1,92,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 2,article,Suzuki,Ar,
CC1(COB(OC1)C2=CC=C(C=C2)OC)C,ClC1=CC=CC=N1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,COC(C=C1)=CC=C1C2=CC=CC=N2,84,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 2,article,Suzuki,Ar,
CC1(COB(OC1)C2=CC=C(C=C2)C(F)(F)F)C,ClC1=CC=CC=N1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,FC(C(C=C1)=CC=C1C2=CC=CC=N2)(F)F,90,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 2,article,Suzuki,Ar,
CC1(COB(OC1)C2=CC=C(C=C2)C#N)C,ClC1=CC=CC=N1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,N#CC(C=C1)=CC=C1C2=CC=CC=N2,63,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 2,article,Suzuki,Ar,
CC1(COB(OC1)C2=C(C=CC=C2)C)C,ClC1=CC=CC=N1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,CC(C=CC=C1)=C1C2=CC=CC=N2,78,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 2,article,Suzuki,Ar,
CC1(COB(OC1)C2=CC=CC3=C2C=CC=C3)C,ClC1=CC=CC=N1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C1(C2=CC=CC3=C2C=CC=C3)=CC=CC=N1,95,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 2,article,Suzuki,Ar,
CC1(COB(OC1)C2=CC=CS2)C,ClC1=CC=CC=N1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C1(C2=CC=CS2)=CC=CC=N1,75,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,0.5,1.5,0.05,0.05,1.5,,Table 2,article,Suzuki,Ar,
CC1(COB(OC1)C2=CC=CO2)C,ClC1=CC=CC=N1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C1(C2=CC=CO2)=CC=CC=N1,46,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,0.5,1.5,0.05,0.05,1.5,,Table 2,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=CC=CC=N1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C1(C2=CC=CC=C2)=CC=CC=N1,91,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 3,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,BrC1=CC=CC=N1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C1(C2=CC=CC=C2)=CC=CC=N1,86,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 3,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=C(Br)C=CC=N1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,BrC(C=CC=N1)=C1C2=CC=CC=C2,63,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 3,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=CC=CC(C)=N1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,CC1=NC(C2=CC=CC=C2)=CC=C1,77,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 3,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,BrC1=CC=CC(OC)=N1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,COC1=NC(C2=CC=CC=C2)=CC=C1,81,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 3,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,BrC1=CC(C)=CC=N1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,CC1=CC=NC(C2=CC=CC=C2)=C1,85,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 3,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=CC=C(C(OC)=O)C=N1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,O=C(C(C=N1)=CC=C1C2=CC=CC=C2)OC,67,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 3,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,BrC1=CC(C(F)(F)F)=CC=N1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,FC(C1=CC=NC(C2=CC=CC=C2)=C1)(F)F,77,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 3,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,BrC1=C(C(F)(F)F)C=CC=N1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,FC(C1=C(C2=CC=CC=C2)N=CC=C1)(F)F,60,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 3,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=NC2=CC=CC=C2C=C1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C12=CC=CC=C1N=C(C3=CC=CC=C3)C=C2,81,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 3,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=NC(C)=CC=N1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,CC1=NC(C2=CC=CC=C2)=NC=C1,70,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 3,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=NC=CN=C1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C1(C2=CC=CC=C2)=CN=CC=N1,71,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,0.5,1.5,0.05,0.05,1.5,,Table 3,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=CC=CN=C1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C1(C2=CC=CC=C2)=CC=CN=C1,25,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,0.5,1.5,0.05,0.05,1.5,,Table 3,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,BrC1=CC=CN=C1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C1(C2=CC=CC=C2)=CC=CN=C1,54,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,0.5,1.5,0.05,0.05,1.5,,Table 3,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,BrC1=CC=C(OC)N=C1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,COC(N=C1)=CC=C1C2=CC=CC=C2,66,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 3,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,BrC1=CN=CN=C1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C1(C2=CC=CC=C2)=CN=CN=C1,87,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 3,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,BrC1=CN(C)C=N1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,CN1C=C(C2=CC=CC=C2)N=C1,77,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 3,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,BrC1=CC2=C(C=CC=C2)N=C1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C12=CC=CC=C1N=C(C3=CC=CC=C3)C=C2,78,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 3,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,BrC1=CC2=C(C=C1)N=CC=C2,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C12=CC(C3=CC=CC=C3)=CC=C1N=CC=C2,63,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 3,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,BrC1=CC=CC2=C1N=CC=C2,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C12=CC=CC(C3=CC=CC=C3)=C1N=CC=C2,74,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 3,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,BrC1=CC=CS1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C1(C2=CC=CC=C2)=CC=CS1,75,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 3,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,BrC1=COC=C1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,C1(C2=CC=CC=C2)=COC=C1,61,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 3,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=CC=C(Cl)C=N1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,ClC(C=N1)=CC=C1C2=CC=CC=C2,94,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 3,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=CC=C(Br)C=N1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,BrC(C=N1)=CC=C1C2=CC=CC=C2,74,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.2,0.05,0.05,1.2,,Table 3,article,Suzuki,Ar,
CC1(COB(OC1)C2=CC=C(C=C2)OC)C,ClC1=CC=CC=C1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,COC(C=C1)=CC=C1C2=CC=CC=C2,0,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 4,article,Suzuki,Ar,
CC1(COB(OC1)C2=CC=C(C=C2)OC)C,BrC1=CC=CC=C1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,COC(C=C1)=CC=C1C2=CC=CC=C2,25,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 4,article,Suzuki,Ar,
CC1(COB(OC1)C2=CC=C(C=C2)OC)C,IC1=CC=CC=C1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,COC(C=C1)=CC=C1C2=CC=CC=C2,23,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 4,article,Suzuki,Ar,
CC1(COB(OC1)C2=CC=C(C=C2)OC)C,O=S(OC1=CC=CC=C1)(C(F)(F)F)=O,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,COC(C=C1)=CC=C1C2=CC=CC=C2,4,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 4,article,Suzuki,Ar,
CC1(COB(OC1)C2=CC=C(C=C2)OC)C,CC1=CC=C(S(OC2=CC=CC=C2)(=O)=O)C=C1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,COC(C=C1)=CC=C1C2=CC=CC=C2,0,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 4,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=CC=C(C(F)(F)F)C=C1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,FC(C(C=C1)=CC=C1C2=CC=CC=C2)(F)F,29,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,0.5,1.5,0.05,0.05,1.5,,Table 4,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,BrC1=CC=C(C=C1)C(F)(F)F,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,FC(C(C=C1)=CC=C1C2=CC=CC=C2)(F)F,77,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,0.5,1.5,0.05,0.05,1.5,,Table 4,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=CC=C(C#N)C=C1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,N#CC(C=C1)=CC=C1C2=CC=CC=C2,60,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,0.5,1.5,0.05,0.05,1.5,,Table 4,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,BrC1=CC=C(C=C1)C#N,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,N#CC(C=C1)=CC=C1C2=CC=CC=C2,74,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,0.5,1.5,0.05,0.05,1.5,,Table 4,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,ClC1=CC=C(C(C)=O)C=C1,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,O=C(C(C=C1)=CC=C1C2=CC=CC=C2)OC,31,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 4,article,Suzuki,Ar,
CC1(C)COB(C2=CC=CC=C2)OC1,BrC1=CC=C(C=C1)C(C)=O,CN(C=O)C,16 h,80,Cl[Co]Cl,C[O-].[K+],,,C1(C2=CC(C3=CC=CC=C3)=CC(C4=NC=CC=C4)=N2)=CC=CC=N1,,O=C(C(C=C1)=CC=C1C2=CC=CC=C2)OC,52,pyridine,https://doi.org/10.1021/acs.organomet.7b00726,scope,1,1.5,0.05,0.05,1.5,,Table 4,article,Suzuki,Ar,
