,substrate,coupling_partner,Solvent,Time,temperature,catalyst_precursor,reagent,ligand,PRODUCT,isolated_yield,DOI,origin,eq_substrate,eq_coupling_partner,eq_catalyst,eq_ligand,eq_reagent,scheme_table,review,Mechanism,substrate_class,coupling_partner_class,reaction_condition,Unnamed: 23
181,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],OC(C1CCCN1)=O,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,8,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 1,article,cadiot,aryl acetylene,acetophenone,N2,
184,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,75,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 1,article,cadiot,aryl acetylene,acetophenone,N2,
186,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],N[C@H]1[C@H](N)CCCC1,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,66,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 1,article,cadiot,aryl acetylene,acetophenone,N2,
188,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125,CC[Zn]CC,O=C([O-])[O-].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,60,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2,
189,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125,CC[Zn]CC,O=C([O-])[O-].[Cs+].[Cs+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,35,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2,
198,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCCC1,48h,125,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,38,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2,
199,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCCC1,48h,125,CC[Zn]CC,O=C([O-])[O-].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,31,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2,
200,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCCC1,48h,125,CC[Zn]CC,O=C([O-])[O-].[Cs+].[Cs+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,1,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2,
207,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CC#N,48h,125,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,20,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2,
208,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CC#N,48h,125,CC[Zn]CC,O=C([O-])[O-].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,1,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2,
209,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CC#N,48h,125,CC[Zn]CC,O=C([O-])[O-].[Cs+].[Cs+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,1,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2,
213,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,48h,125,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,0,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2,
214,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,48h,125,CC[Zn]CC,O=C([O-])[O-].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,0,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2,
215,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,CS(C)=O,48h,125,CC[Zn]CC,O=C([O-])[O-].[Cs+].[Cs+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,0,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2,
219,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,80,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,40,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2,
224,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,28,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,1.0,1.0,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2,
225,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,52,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,1.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2,
226,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,1,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.05,0.1,1.0,Table 2,article,cadiot,aryl acetylene,acetophenone,,
227,C#CC1=CC=CC=C1,IC1=CC=C(C(C)=O)C=C1,O1CCOCC1,48h,125,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,O=C(C2=CC=C(C=C2)C#CC1=CC=CC=C1)C,43,https://doi.org/10.1016/j.tetlet.2015.08.027,optimization,1.0,1.1,0.2,0.1,2.0,Table 2,article,cadiot,aryl acetylene,acetophenone,N2,
246,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,80,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,92,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,table.1,Research_Article,suzuki,phenyl boronic acid,acetylene,N2,
249,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,80,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],N[C@H]1[C@H](N)CCCC1,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,1,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,scheme.4,Research_Article,suzuki,phenyl boronic acid,acetylene,N2,
250,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,80,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],OC(C1CCCN1)=O,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,38,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,scheme.5,Research_Article,suzuki,phenyl boronic acid,acetylene,N2,
255,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,80,CC[Zn]CC,O=C([O-])[O-].[Cs+].[Cs+],CNCCNC,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,17,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,table.2,Research_Article,suzuki,phenyl boronic acid,acetylene,N2,
257,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,80,CC[Zn]CC,O=C([O-])[O-].[K+].[K+],CNCCNC,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,24,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,table.2,Research_Article,suzuki,phenyl boronic acid,acetylene,N2,
260,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,CC#N,48h,80,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,83,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,table.2,Research_Article,suzuki,phenyl boronic acid,acetylene,N2,
263,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,CCO,48h,80,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,33,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,table.2,Research_Article,suzuki,phenyl boronic acid,acetylene,N2,
266,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,CS(C)=O,48h,80,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,1,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,table.2,Research_Article,suzuki,phenyl boronic acid,acetylene,N2,
268,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,130,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,1,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,table.2,Research_Article,suzuki,phenyl boronic acid,acetylene,N2,
269,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,80,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,52,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,2.0,1.0,0.2,0.4,4.0,table.2,Research_Article,suzuki,phenyl boronic acid,acetylene,N2,
270,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,80,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,46,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,1.5,1.0,0.2,0.4,4.0,table.2,Research_Article,suzuki,phenyl boronic acid,acetylene,N2,
271,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,80,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,31,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,2.0,table.2,Research_Article,suzuki,phenyl boronic acid,acetylene,N2,
272,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,24h,80,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,77,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,table.2,Research_Article,suzuki,phenyl boronic acid,acetylene,N2,
273,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,80,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,1,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,table.2,Research_Article,suzuki,phenyl boronic acid,acetylene,N2,
276,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,80,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,1,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.2,0.4,4.0,table.2,Research_Article,suzuki,phenyl boronic acid,acetylene,,
277,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,80,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,58,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.3,0.6,4.0,table.3,Research_Article,suzuki,phenyl boronic acid,acetylene,N2,
278,OB(C1=CC=CC=C1)O,BrC#CC1=CC=C(C)C=C1,O1CCCC1,48h,80,CC[Zn]CC,[O-]P([O-])([O-])=O.[K+].[K+].[K+],CNCCNC,CC1=CC=C(C#CC2=CC=CC=C2)C=C1,69,https://doi.org/10.1016/j.jcat.2019.03.005,optimization,3.0,1.0,0.25,0.5,4.0,table.3,Research_Article,suzuki,phenyl boronic acid,acetylene,N2,
